run,type,module,name,attrname,attrvalue,value
sim-1-20251019-12:23:58-240,runattr,,,configname,sim,
sim-1-20251019-12:23:58-240,runattr,,,datetime,20251019-12:23:58,
sim-1-20251019-12:23:58-240,runattr,,,experiment,sim,
sim-1-20251019-12:23:58-240,runattr,,,inifile,swim.ini,
sim-1-20251019-12:23:58-240,runattr,,,iterationvars,"$trace=""traces/clarknet-http-105m-l70.delta"", $latency=60",
sim-1-20251019-12:23:58-240,runattr,,,iterationvarsf,"trace=traces#2fclarknet-http-105m-l70.delta,latency=60-",
sim-1-20251019-12:23:58-240,runattr,,,measurement,"$trace=""traces/clarknet-http-105m-l70.delta"", $latency=60",
sim-1-20251019-12:23:58-240,runattr,,,network,SWIM,
sim-1-20251019-12:23:58-240,runattr,,,processid,240,
sim-1-20251019-12:23:58-240,runattr,,,repetition,0,
sim-1-20251019-12:23:58-240,runattr,,,replication,#0,
sim-1-20251019-12:23:58-240,runattr,,,resultdir,../../../results/SWIM,
sim-1-20251019-12:23:58-240,runattr,,,runnumber,1,
sim-1-20251019-12:23:58-240,runattr,,,seedset,1,
sim-1-20251019-12:23:58-240,itervar,,,latency,60,
sim-1-20251019-12:23:58-240,itervar,,,trace,"""traces/clarknet-http-105m-l70.delta""",
sim-1-20251019-12:23:58-240,param,,,*.source.interArrivalsFile,"""traces/clarknet-http-105m-l70.delta""",
sim-1-20251019-12:23:58-240,param,,,*.evaluationPeriod,60,
sim-1-20251019-12:23:58-240,param,,,*.numberOfBrownoutLevels,5,
sim-1-20251019-12:23:58-240,param,,,*.dimmerMargin,0.1,
sim-1-20251019-12:23:58-240,param,,,*.responseTimeThreshold,0.75s,
sim-1-20251019-12:23:58-240,param,,,*.maxServers,3,
sim-1-20251019-12:23:58-240,param,,,*.initialServers,3,
sim-1-20251019-12:23:58-240,param,,,**.server*.server.threads,100,
sim-1-20251019-12:23:58-240,param,,,**.server*.server.brownoutFactor,0.1,
sim-1-20251019-12:23:58-240,param,,,**.server*.server.timeout,10s,
sim-1-20251019-12:23:58-240,param,,,*.bootDelay,60,
sim-1-20251019-12:23:58-240,param,,,**.server*.server.serviceTime,"truncnormal(0.030s,0.030s)",
sim-1-20251019-12:23:58-240,param,,,**.server*.server.lowFidelityServiceTime,"truncnormal(0.001s,0.001s)",
sim-1-20251019-12:23:58-240,param,,,*.maxServiceRate,1 / 0.04452713,
sim-1-20251019-12:23:58-240,scalar,_runattrs_,latency,,,60
sim-1-20251019-12:23:58-240,scalar,SWIM.sink,generation:mean,,,0
sim-1-20251019-12:23:58-240,attr,SWIM.sink,generation:mean,interpolationmode,none,
sim-1-20251019-12:23:58-240,attr,SWIM.sink,generation:mean,title,"the generation of the arrived jobs, mean",
sim-1-20251019-12:23:58-240,scalar,SWIM.sink,generation:max,,,0
sim-1-20251019-12:23:58-240,attr,SWIM.sink,generation:max,interpolationmode,none,
sim-1-20251019-12:23:58-240,attr,SWIM.sink,generation:max,title,"the generation of the arrived jobs, max",
sim-1-20251019-12:23:58-240,scalar,SWIM.sink,delaysVisited:mean,,,0
sim-1-20251019-12:23:58-240,attr,SWIM.sink,delaysVisited:mean,interpolationmode,none,
sim-1-20251019-12:23:58-240,attr,SWIM.sink,delaysVisited:mean,title,"the total number of delays visited by arrived jobs, mean",
sim-1-20251019-12:23:58-240,scalar,SWIM.sink,delaysVisited:max,,,0
sim-1-20251019-12:23:58-240,attr,SWIM.sink,delaysVisited:max,interpolationmode,none,
sim-1-20251019-12:23:58-240,attr,SWIM.sink,delaysVisited:max,title,"the total number of delays visited by arrived jobs, max",
sim-1-20251019-12:23:58-240,scalar,SWIM.sink,queuesVisited:mean,,,0.00022738976612294
sim-1-20251019-12:23:58-240,attr,SWIM.sink,queuesVisited:mean,interpolationmode,none,
sim-1-20251019-12:23:58-240,attr,SWIM.sink,queuesVisited:mean,title,"the total number of queues visited by arrived jobs, mean",
sim-1-20251019-12:23:58-240,scalar,SWIM.sink,queuesVisited:max,,,2
sim-1-20251019-12:23:58-240,attr,SWIM.sink,queuesVisited:max,interpolationmode,none,
sim-1-20251019-12:23:58-240,attr,SWIM.sink,queuesVisited:max,title,"the total number of queues visited by arrived jobs, max",
sim-1-20251019-12:23:58-240,scalar,SWIM.sink,totalServiceTime:mean,,,0.12481444480395
sim-1-20251019-12:23:58-240,attr,SWIM.sink,totalServiceTime:mean,interpolationmode,none,
sim-1-20251019-12:23:58-240,attr,SWIM.sink,totalServiceTime:mean,title,"the total time spent  by arrived jobs, mean",
sim-1-20251019-12:23:58-240,attr,SWIM.sink,totalServiceTime:mean,unit,s,
sim-1-20251019-12:23:58-240,scalar,SWIM.sink,totalServiceTime:max,,,9.608811537618
sim-1-20251019-12:23:58-240,attr,SWIM.sink,totalServiceTime:max,interpolationmode,none,
sim-1-20251019-12:23:58-240,attr,SWIM.sink,totalServiceTime:max,title,"the total time spent  by arrived jobs, max",
sim-1-20251019-12:23:58-240,attr,SWIM.sink,totalServiceTime:max,unit,s,
sim-1-20251019-12:23:58-240,scalar,SWIM.sink,totalDelayTime:mean,,,0
sim-1-20251019-12:23:58-240,attr,SWIM.sink,totalDelayTime:mean,interpolationmode,none,
sim-1-20251019-12:23:58-240,attr,SWIM.sink,totalDelayTime:mean,title,"the total time spent in delay nodes by arrived jobs, mean",
sim-1-20251019-12:23:58-240,attr,SWIM.sink,totalDelayTime:mean,unit,s,
sim-1-20251019-12:23:58-240,scalar,SWIM.sink,totalDelayTime:max,,,0
sim-1-20251019-12:23:58-240,attr,SWIM.sink,totalDelayTime:max,interpolationmode,none,
sim-1-20251019-12:23:58-240,attr,SWIM.sink,totalDelayTime:max,title,"the total time spent in delay nodes by arrived jobs, max",
sim-1-20251019-12:23:58-240,attr,SWIM.sink,totalDelayTime:max,unit,s,
sim-1-20251019-12:23:58-240,scalar,SWIM.sink,totalQueueingTime:mean,,,6.7687321141095e-06
sim-1-20251019-12:23:58-240,attr,SWIM.sink,totalQueueingTime:mean,interpolationmode,none,
sim-1-20251019-12:23:58-240,attr,SWIM.sink,totalQueueingTime:mean,title,"the total time spent in queues by arrived jobs, mean",
sim-1-20251019-12:23:58-240,attr,SWIM.sink,totalQueueingTime:mean,unit,s,
sim-1-20251019-12:23:58-240,scalar,SWIM.sink,totalQueueingTime:max,,,0.140595723647
sim-1-20251019-12:23:58-240,attr,SWIM.sink,totalQueueingTime:max,interpolationmode,none,
sim-1-20251019-12:23:58-240,attr,SWIM.sink,totalQueueingTime:max,title,"the total time spent in queues by arrived jobs, max",
sim-1-20251019-12:23:58-240,attr,SWIM.sink,totalQueueingTime:max,unit,s,
sim-1-20251019-12:23:58-240,scalar,SWIM.sink,lifeTime:mean,,,0.12482121353607
sim-1-20251019-12:23:58-240,attr,SWIM.sink,lifeTime:mean,interpolationmode,none,
sim-1-20251019-12:23:58-240,attr,SWIM.sink,lifeTime:mean,title,"lifetime of arrived jobs, mean",
sim-1-20251019-12:23:58-240,attr,SWIM.sink,lifeTime:mean,unit,s,
sim-1-20251019-12:23:58-240,scalar,SWIM.sink,lifeTime:max,,,9.608811537618
sim-1-20251019-12:23:58-240,attr,SWIM.sink,lifeTime:max,interpolationmode,none,
sim-1-20251019-12:23:58-240,attr,SWIM.sink,lifeTime:max,title,"lifetime of arrived jobs, max",
sim-1-20251019-12:23:58-240,attr,SWIM.sink,lifeTime:max,unit,s,
sim-1-20251019-12:23:58-240,scalar,SWIM.source,created:count,,,1
sim-1-20251019-12:23:58-240,attr,SWIM.source,created:count,interpolationmode,none,
sim-1-20251019-12:23:58-240,attr,SWIM.source,created:count,title,"the number of jobs created, count",
sim-1-20251019-12:23:58-240,scalar,SWIM.sinkLow,generation:mean,,,0
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,generation:mean,interpolationmode,none,
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,generation:mean,title,"the generation of the arrived jobs, mean",
sim-1-20251019-12:23:58-240,scalar,SWIM.sinkLow,generation:max,,,0
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,generation:max,interpolationmode,none,
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,generation:max,title,"the generation of the arrived jobs, max",
sim-1-20251019-12:23:58-240,scalar,SWIM.sinkLow,delaysVisited:mean,,,0
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,delaysVisited:mean,interpolationmode,none,
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,delaysVisited:mean,title,"the total number of delays visited by arrived jobs, mean",
sim-1-20251019-12:23:58-240,scalar,SWIM.sinkLow,delaysVisited:max,,,0
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,delaysVisited:max,interpolationmode,none,
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,delaysVisited:max,title,"the total number of delays visited by arrived jobs, max",
sim-1-20251019-12:23:58-240,scalar,SWIM.sinkLow,queuesVisited:mean,,,0
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,queuesVisited:mean,interpolationmode,none,
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,queuesVisited:mean,title,"the total number of queues visited by arrived jobs, mean",
sim-1-20251019-12:23:58-240,scalar,SWIM.sinkLow,queuesVisited:max,,,0
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,queuesVisited:max,interpolationmode,none,
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,queuesVisited:max,title,"the total number of queues visited by arrived jobs, max",
sim-1-20251019-12:23:58-240,scalar,SWIM.sinkLow,totalServiceTime:mean,,,0.0029627009957966
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,totalServiceTime:mean,interpolationmode,none,
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,totalServiceTime:mean,title,"the total time spent  by arrived jobs, mean",
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,totalServiceTime:mean,unit,s,
sim-1-20251019-12:23:58-240,scalar,SWIM.sinkLow,totalServiceTime:max,,,0.213300294124
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,totalServiceTime:max,interpolationmode,none,
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,totalServiceTime:max,title,"the total time spent  by arrived jobs, max",
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,totalServiceTime:max,unit,s,
sim-1-20251019-12:23:58-240,scalar,SWIM.sinkLow,totalDelayTime:mean,,,0
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,totalDelayTime:mean,interpolationmode,none,
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,totalDelayTime:mean,title,"the total time spent in delay nodes by arrived jobs, mean",
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,totalDelayTime:mean,unit,s,
sim-1-20251019-12:23:58-240,scalar,SWIM.sinkLow,totalDelayTime:max,,,0
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,totalDelayTime:max,interpolationmode,none,
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,totalDelayTime:max,title,"the total time spent in delay nodes by arrived jobs, max",
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,totalDelayTime:max,unit,s,
sim-1-20251019-12:23:58-240,scalar,SWIM.sinkLow,totalQueueingTime:mean,,,0
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,totalQueueingTime:mean,interpolationmode,none,
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,totalQueueingTime:mean,title,"the total time spent in queues by arrived jobs, mean",
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,totalQueueingTime:mean,unit,s,
sim-1-20251019-12:23:58-240,scalar,SWIM.sinkLow,totalQueueingTime:max,,,0
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,totalQueueingTime:max,interpolationmode,none,
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,totalQueueingTime:max,title,"the total time spent in queues by arrived jobs, max",
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,totalQueueingTime:max,unit,s,
sim-1-20251019-12:23:58-240,scalar,SWIM.sinkLow,lifeTime:mean,,,0.0029627009957966
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,lifeTime:mean,interpolationmode,none,
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,lifeTime:mean,title,"lifetime of arrived jobs, mean",
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,lifeTime:mean,unit,s,
sim-1-20251019-12:23:58-240,scalar,SWIM.sinkLow,lifeTime:max,,,0.213300294124
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,lifeTime:max,interpolationmode,none,
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,lifeTime:max,title,"lifetime of arrived jobs, max",
sim-1-20251019-12:23:58-240,attr,SWIM.sinkLow,lifeTime:max,unit,s,
sim-1-20251019-12:23:58-240,scalar,SWIM.monitor,utility:last,,,4758.3010364748
sim-1-20251019-12:23:58-240,attr,SWIM.monitor,utility:last,source,sum(utility),
