timestamp,log_level,message,Finished Processing File,Processing File,User Request Time,model,Component,Action,input_rate,image,model,conf,boxes,model_processing_time
2025-10-19 22:44:58,INFO,"Processed image 25: model=yolov5m, conf=0.707, boxes=2, time=10.149s",,,,,,,,25,yolov5m,0.707,2.0,10.149
2025-10-19 22:44:58,DATA,,24.0,,,,,,,,,,,
2025-10-19 22:44:58,DATA,,,25.0,,,,,,,,,,
2025-10-19 22:44:58,DATA,,,,1760913888.4794495,yolov5m,,,,,,,,
2025-10-19 22:44:58,INFO,"Processed image 26: model=yolov5m, conf=0.532, boxes=22, time=10.385s",,,,,,,,26,yolov5m,0.532,22.0,10.385
2025-10-19 22:44:58,DATA,,25.0,,,,,,,,,,,
2025-10-19 22:44:58,DATA,,,26.0,,,,,,,,,,
2025-10-19 22:44:58,DATA,,,,1760913888.746667,yolov5m,,,,,,,,
2025-10-19 22:44:59,INFO,"Processed image 27: model=yolov5m, conf=0.808, boxes=1, time=10.403s",,,,,,,,27,yolov5m,0.808,1.0,10.403
2025-10-19 22:44:59,DATA,,26.0,,,,,,,,,,,
2025-10-19 22:44:59,DATA,,,27.0,,,,,,,,,,
2025-10-19 22:44:59,DATA,,,,1760913889.0235538,yolov5m,,,,,,,,
2025-10-19 22:44:59,INFO,"Processed image 28: model=yolov5m, conf=0.843, boxes=12, time=10.341s",,,,,,,,28,yolov5m,0.843,12.0,10.341
2025-10-19 22:44:59,DATA,,27.0,,,,,,,,,,,
2025-10-19 22:44:59,DATA,,,28.0,,,,,,,,,,
2025-10-19 22:44:59,DATA,,,,1760913889.3283293,yolov5m,,,,,,,,
2025-10-19 22:44:59,INFO,"Processed image 29: model=yolov5m, conf=0.795, boxes=7, time=10.245s",,,,,,,,29,yolov5m,0.795,7.0,10.245
2025-10-19 22:44:59,DATA,,28.0,,,,,,,,,,,
2025-10-19 22:44:59,DATA,,,29.0,,,,,,,,,,
2025-10-19 22:44:59,DATA,,,,1760913889.6108046,yolov5l,,,,,,,,
