timestamp,log_level,message,Component,Action,input_rate,model,User Request Time,Finished Processing File,Processing File
2025-10-19 23:43:02,INFO,,Executor,Switching to model YOLOV5l,,,,,
2025-10-19 23:43:03,INFO,,Executor,Switching to model YOLOV5m,,,,,
2025-10-19 23:43:36,INFO,,Executor,Switching to model YOLOV5m,,,,,
2025-10-19 23:46:55,INFO,,Executor,Switching to model YOLOV5l,,,,,
2025-10-19 23:46:56,INFO,,Executor,Switching to model YOLOV5m,,,,,
2025-10-19 23:47:28,INFO,,Executor,Switching to model YOLOV5l,,,,,
2025-10-19 23:47:29,INFO,,Executor,Switching to model YOLOV5m,,,,,
2025-10-19 23:51:09,INFO,,Executor,Switching to model YOLOV5s,,,,,
2025-10-19 23:51:54,INFO,,Executor,Switching to model YOLOV5l,,,,,
2025-10-19 23:51:55,INFO,,Executor,Switching to model YOLOV5s,,,,,
2025-10-19 23:52:28,INFO,,Executor,Switching to model YOLOV5l,,,,,
2025-10-19 23:52:29,INFO,,Executor,Switching to model YOLOV5s,,,,,
2025-10-19 23:54:08,INFO,,Executor,Switching to model YOLOV5l,,,,,
2025-10-19 23:54:09,INFO,,Executor,Switching to model YOLOV5n,,,,,
2025-10-19 23:54:13,INFO,,Executor,Switching to model YOLOV5s,,,,,
