time_bin,yolov5l,yolov5m,yolov5n,yolov5s,yolov5x
0,0.0,10.6,48.0,41.4,0.0
1,0.0,19.400000000000002,32.6,46.800000000000004,1.2
2,1.4000000000000001,15.8,30.0,52.800000000000004,0.0
3,9.6,16.2,30.4,37.0,6.800000000000001
4,0.0,0.0,78.4,21.6,0.0
5,0.0,5.2,56.39999999999999,38.4,0.0
6,0.0,0.0,91.8,1.6,6.6000000000000005
7,0.0,21.6,71.0,7.3999999999999995,0.0
8,0.0,0.0,95.6,4.3999999999999995,0.0
9,0.0,0.0,81.39999999999999,18.6,0.0
10,0.0,0.0,97.99599198396794,0.0,2.004008016032064
11,0.0,7.199999999999999,69.8,23.0,0.0
12,0.0,0.0,98.0,2.0,0.0
13,0.0,18.0,59.8,16.400000000000002,5.800000000000001
14,0.0,0.0,42.6,54.0,3.4000000000000004
15,0.0,4.6,82.19999999999999,13.200000000000001,0.0
16,0.0,0.0,100.0,0.0,0.0
17,0.0,0.0,80.0,20.0,0.0
18,0.0,0.0,61.8,38.2,0.0
19,0.0,0.0,75.4,24.6,0.0
